,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
106,Tus Promesas de Amor,En el Estudio de Cerca y Personal,Tito Nieves,2013-09-24,253160,4,0.709,0.151,0.709,0.765,0.000498,0.174,-7.363,0.04,96.072,4
107,Mas Que Tu Amigo,En el Estudio de Cerca y Personal,Tito Nieves,2013-09-24,242506,26,0.686,0.217,0.686,0.802,5.68e-05,0.0763,-5.473,0.0415,108.001,4
108,Que Seas Feliz,Que Seas Feliz,Tito Nieves,2012-12-12,242186,0,0.797,0.227,0.797,0.895,0.0,0.339,-3.634,0.048,99.93,4
109,De Que Manera Te Olvido,Que Seas Feliz,Tito Nieves,2012-12-12,237546,0,0.814,0.242,0.814,0.829,0.0,0.135,-4.898,0.0526,99.971,4
110,Cielo Rojo,Que Seas Feliz,Tito Nieves,2012-12-12,281146,0,0.87,0.454,0.87,0.76,1.12e-05,0.0746,-6.505,0.0655,105.053,4
111,Cruz Del Olvído,Que Seas Feliz,Tito Nieves,2012-12-12,286733,0,0.818,0.274,0.818,0.842,0.0,0.0709,-5.049,0.054,99.961,4
112,Un Mundo Raro,Que Seas Feliz,Tito Nieves,2012-12-12,254773,0,0.644,0.209,0.644,0.831,4.75e-05,0.202,-5.194,0.0542,194.912,4
113,Echame A Mi La Culpa,Que Seas Feliz,Tito Nieves,2012-12-12,254200,0,0.775,0.38,0.775,0.755,0.0,0.0418,-5.254,0.042,172.901,4
114,Entrega Total,Que Seas Feliz,Tito Nieves,2012-12-12,242546,0,0.853,0.285,0.853,0.891,0.0,0.0701,-4.498,0.0454,100.025,4
115,Paloma Querida,Que Seas Feliz,Tito Nieves,2012-12-12,273773,0,0.703,0.287,0.703,0.849,0.0,0.0819,-5.495,0.13,194.975,4
116,Que Seas Feliz,Que Seas Feliz,Tito Nieves,2012-12-04,243053,20,0.798,0.193,0.798,0.896,0.0,0.338,-3.971,0.0487,99.969,4
117,De Qué Manera Te Olvido,Que Seas Feliz,Tito Nieves,2012-12-04,237946,14,0.81,0.214,0.81,0.831,0.0,0.157,-4.902,0.0511,99.986,4
118,Cielo Rojo,Que Seas Feliz,Tito Nieves,2012-12-04,278466,5,0.863,0.467,0.863,0.76,1.33e-05,0.0626,-6.515,0.0631,104.998,4
119,Cruz De Olvido,Que Seas Feliz,Tito Nieves,2012-12-04,285826,6,0.816,0.27,0.816,0.833,0.0,0.075,-5.069,0.0553,99.988,4
120,Un Mundo Raro,Que Seas Feliz,Tito Nieves,2012-12-04,253773,7,0.644,0.218,0.644,0.835,4.44e-05,0.163,-5.253,0.055,194.847,4
121,Échame a Mí la Culpa,Que Seas Feliz,Tito Nieves,2012-12-04,253120,20,0.772,0.388,0.772,0.761,0.0,0.0425,-5.293,0.0411,172.851,4
122,Entrega Total,Que Seas Feliz,Tito Nieves,2012-12-04,241560,19,0.855,0.27,0.855,0.89,0.0,0.0674,-4.515,0.0446,100.018,4
123,Paloma Querida,Que Seas Feliz,Tito Nieves,2012-12-04,274200,5,0.808,0.281,0.808,0.843,0.0,0.0709,-5.503,0.0751,97.47,4
124,Que Seas Felíz,Que Seas Felíz,Tito Nieves,2012-12-04,244000,2,0.801,0.208,0.801,0.899,0.0,0.331,-3.577,0.0462,99.991,4
125,De Qué Manera Te Olvido,Que Seas Felíz,Tito Nieves,2012-12-04,239666,6,0.821,0.232,0.821,0.83,0.0,0.0972,-4.904,0.052,99.944,4
126,Cielo Rojo,Que Seas Felíz,Tito Nieves,2012-12-04,281146,1,0.867,0.472,0.867,0.766,7.71e-06,0.076,-6.511,0.0628,105.047,4
127,Cruz Del Olvido,Que Seas Felíz,Tito Nieves,2012-12-04,286733,1,0.807,0.255,0.807,0.833,0.0,0.0733,-5.013,0.0549,99.952,4
128,Un Mundo Raro,Que Seas Felíz,Tito Nieves,2012-12-04,254773,1,0.644,0.211,0.644,0.831,5.16e-05,0.199,-5.214,0.0536,195.04,4
129,Héchame A Mi La Culpa,Que Seas Felíz,Tito Nieves,2012-12-04,254200,8,0.775,0.381,0.775,0.755,0.0,0.042,-5.27,0.0417,172.976,4
130,Entrega Total,Que Seas Felíz,Tito Nieves,2012-12-04,242546,4,0.854,0.235,0.854,0.889,0.0,0.0753,-4.498,0.0456,100.018,4
131,Paloma Querida,Que Seas Felíz,Tito Nieves,2012-12-04,273773,1,0.835,0.283,0.835,0.842,0.0,0.0843,-5.492,0.0691,97.551,4
132,Eres Linda - Salsa,Mi Ultima Grabación,Tito Nieves,2011-11-01,270393,34,0.758,0.394,0.758,0.63,0.0,0.168,-7.295,0.033,94.965,4
133,Por Eso Estoy Contigo,Mi Ultima Grabación,Tito Nieves,2011-11-01,222328,7,0.762,0.321,0.762,0.711,0.0,0.24,-6.464,0.0496,110.02,4
134,Eres Linda - Balada,Mi Ultima Grabación,Tito Nieves,2011-11-01,207595,7,0.599,0.727,0.599,0.271,0.0,0.111,-10.484,0.0346,151.992,4
135,La Verdad,Mi Ultima Grabación,Tito Nieves,2011-11-01,284447,17,0.807,0.204,0.807,0.676,2.55e-06,0.182,-8.14,0.0433,100.0,4
136,Lo Mejor Que Me Ha Pasado,Mi Ultima Grabación,Tito Nieves,2011-11-01,275252,15,0.812,0.381,0.812,0.64,0.0,0.0996,-7.926,0.0524,97.607,4
137,Si Tú Supieras,Mi Ultima Grabación,Tito Nieves,2011-11-01,207490,6,0.67,0.616,0.67,0.47,0.0,0.107,-8.201,0.0321,82.992,4
138,Cuando Estoy Contigo,Mi Ultima Grabación,Tito Nieves,2011-11-01,292963,16,0.733,0.382,0.733,0.696,0.0,0.0929,-7.475,0.084,180.066,4
139,Dícelo Asi,Mi Ultima Grabación,Tito Nieves,2011-11-01,214700,5,0.648,0.465,0.648,0.666,0.0,0.285,-6.999,0.0547,179.804,4
140,El Silencio de Tu Amor,Mi Ultima Grabación,Tito Nieves,2011-11-01,216607,4,0.525,0.709,0.525,0.464,0.0,0.163,-7.368,0.0294,81.019,4
141,Este Amor De Los Dos,Entre Familia,Tito Nieves,2010-05-18,249920,2,0.835,0.318,0.835,0.771,0.0,0.0572,-4.415,0.048,100.034,4
142,Como Un Juego De Niños,Entre Familia,Tito Nieves,2010-05-18,246706,1,0.622,0.31,0.622,0.725,0.0,0.165,-4.692,0.062,93.633,4
143,Han Pasado Algunos Dias,Entre Familia,Tito Nieves,2010-05-18,253000,2,0.714,0.414,0.714,0.8,2.99e-05,0.208,-4.296,0.0328,93.634,4
144,Me Marchare Llorando,Entre Familia,Tito Nieves,2010-05-18,274586,1,0.835,0.192,0.835,0.762,0.0,0.0925,-3.932,0.0472,99.545,4
145,Miedo De Quererte,Entre Familia,Tito Nieves,2010-05-18,242373,1,0.565,0.55,0.565,0.739,2.18e-05,0.156,-4.415,0.0411,179.239,4
146,No Te Detengas A Pensar,Entre Familia,Tito Nieves,2010-05-18,243080,1,0.865,0.379,0.865,0.727,0.0,0.266,-3.792,0.0403,95.4,4
147,Que Bien Lo Haces,Entre Familia,Tito Nieves,2010-05-18,246146,1,0.862,0.262,0.862,0.841,2.27e-06,0.0531,-4.517,0.0378,101.976,4
148,Tus Promesas De Amor,Entre Familia,Tito Nieves,2010-05-18,261040,13,0.856,0.269,0.856,0.749,0.0,0.0656,-3.783,0.0436,93.951,4
149,Tuyo En Cuerpo Y Alma,Entre Familia,Tito Nieves,2010-05-18,247573,1,0.857,0.369,0.857,0.798,3.95e-06,0.217,-3.765,0.0396,95.026,4
150,Vendre A Buscarte,Entre Familia,Tito Nieves,2010-05-18,266960,1,0.84,0.355,0.84,0.744,0.0,0.286,-4.224,0.0409,95.042,4
151,Más Que Tu Amigo,Oro Salsero,Tito Nieves,2010-01-01,254120,15,0.739,0.534,0.739,0.83,0.0,0.083,-4.294,0.0336,102.731,4
152,Ojalá,Oro Salsero,Tito Nieves,2010-01-01,282786,6,0.593,0.568,0.593,0.835,4.96e-06,0.0786,-4.506,0.0387,202.355,4
153,Te Amo,Oro Salsero,Tito Nieves,2010-01-01,304080,7,0.495,0.721,0.495,0.779,0.000673,0.147,-6.278,0.0355,95.668,4
154,Mi Mayor Sacrificio,Oro Salsero,Tito Nieves,2010-01-01,241333,9,0.58,0.281,0.58,0.836,6.16e-06,0.161,-5.273,0.0379,179.749,4
155,Amanecí Entre Tus Brazos,Oro Salsero,Tito Nieves,2010-01-01,267346,6,0.783,0.322,0.783,0.666,0.0,0.179,-6.855,0.0334,99.615,4
156,Tu Cárcel,Oro Salsero,Tito Nieves,2010-01-01,286106,11,0.586,0.361,0.586,0.833,1.03e-06,0.262,-4.008,0.0407,99.63,4
157,Almohada,Oro Salsero,Tito Nieves,2010-01-01,294280,11,0.593,0.714,0.593,0.829,8.94e-05,0.0495,-6.784,0.035,94.965,4
158,Mia,Oro Salsero,Tito Nieves,2010-01-01,190573,5,0.437,0.891,0.437,0.336,0.000246,0.245,-8.445,0.0306,159.982,4
